Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
1;2178;BIBLIOTECA ÁNGEL GONZALEZ;C/ GRANJA DE TORREHERMOSA, 2 ;434954;4472113;40.397.074.625.115.900;-37.664.885.474.841.500;;cultural; AG Cultura Turismo y Deportes ; Latina ;20,00;ORTIZ;31/07/2049
2;782;BIBLIOTECA IVÁN DE VARGAS;C/ DOCTOR LETAMENDI, 1;439775;4473962;4.041.410.290.844.660;-37.098.591.212.735.800;;cultural; AG Cultura Turismo y Deportes ; Centro ;20,00;ORTIZ;24/07/2049
3;2096;BIBLIOTECA EUGENIO TRIAS (CASA FIERAS);AV/ MENENDEZ PELAYO , 10-3 BJ ;442345;4474221;404.166.091.081.099;-36.795.930.368.034.800;;cultural; AG Cultura Turismo y Deportes ; Retiro ;20,00;ORTIZ;24/07/2049
4;1046;PLANETARIO;AV/ PLANETARIO 16;441830;4471375;40.390.944.081.814.800;-3.685.391.155.439.890;3.062;cultural; AG Cultura Turismo y Deportes ; Arganzuela ;25,00;FULTON;13/09/2049
5;2143;MADRID EMPRENDE;C/CIDRO, 3 ;436689;4468938;4.036.861.554.413.500;-374.573.026.512.817;;administrativo; AG Economía, Innovación y Empleo ; Carabanchel ;10,00;;20/09/2048
6;1779;MARES MADRID;C/ FRANCISCO LAGUNA 38;443153;4471330;40.390.628;-3.669.802;;administrativo; AG Economía, Innovación y Empleo ; Puente de Vallecas  ;5,00;ETRALUX;20/09/2048
7;2639;NAVE BOETTICHER;C/ CIFUENTES, 22 28021 MADRID;440849;4466524;40.347.177;-3.696.499;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;7,00;AURA;15/01/2049
8;;MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO;PASEO ALBERTO PALACIOS, 13;439657;4466414;40.346.099;-3.710.522;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;2,50;;13/08/2038
9;317;AULA DE LA NATURALEZA DEHESA DE LA VILLA;C/ FRANCOS RODRIGUEZ, 97 ;439102;4478967;4.045.914.104.116.340;-3.718.270.563.679.260;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5,00;;20/09/2048
10;;VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO;"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)";441779;4473428;4.040.943.503.279.110;-36.861.797.800.993.200;;medioambiental; AG de Medio Ambiente y Movilidad ; Retiro ;5,00;;20/09/2048
12;;VIVERO MUNICIPAL DE MIGAS CALIENTES;"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.";437394;4476508;4.043.686.257.147.040;-37.381.715.230.490.400;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5,00;;20/09/2048
13;;ROSALEDA DEL PARQUE DEL OESTE;"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)";438775;4475363;40.426.646;-3.721.771;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;17,50;SAVEFFI;11/06/2048
14;2520;ALMACÉN DE LA VILLA;C/ AHUMAOS, 27 28052 MADRID;449323;4471841;40.395.628;-3.597.144;;almacén; AG Obras y Equipamientos ; Vicálvaro ;20,00;PECSA;11/06/2048
15;1392;UID VILLA DE VALLECAS;AV/ REAL DE ARGANDA, 64   ;447969;4470229;40.379.145.542.145.500;-6,14E+15;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Villa de Vallecas ;6,00;AURA;14/02/2048
16;1704;BASE 14 SAMUR;C/ CASUARINA, 10;435024;4470233;40.380.148;-3.765.466;;sanitario; AG de Portavoz, Seguridad y Emergencias ; Latina ;9,90;POWEN;21/06/2048
17;1904;CENTRO PROTECCIÓN ANIMAL;CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054;433934;4468399;40.363.546.309.643.300;-3.778.110.067.286.680;;sanitario; MADRID SALUD ; Latina ;5,00;AURA;14/02/2050
18;1372;PARQUE BOMBEROS Nº 6;C/ SAN BERNARDO, 68 ;440066;4475362;4.042.673.583.114.150;-37.065.496.222.694.200;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Centro ;35,00;FERROVIAL;13/02/2048
19;594;PARQUE DE BOMBEROS Nº 7;Av Hellin, 52;447796;4475482;4.042.832.883.917.410;-36.154.373.664.644.300;;seguridad; AG de Portavoz, Seguridad y Emergencias ; San Blas Canillejas ;25,00;FERROVIAL;01/10/2049
20;351;PARQUE DE BOMBEROS Nº 11;C/ Mesena, 146;443623;4480593;4.047.409.889.540.650;-3.665.083.966.588.480;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Hortaleza ;17,00;;29/09/2038
21;2051;CSS JOSÉ VILLARREAL (ARGANZUELA);PLAZA JOSE VILLARREAL, 2 ;440953;4471932;4.039.401.854.488.280;-3.697.052.144.961.610;;social; JMD Arganzuela ; Arganzuela ;7,50;IMESAPI;07/05/2049
22;2440;EI LA MELONERA ;C/ EROS, 2;442243;4471700;4.039.390.298.324.830;-3.680.551.491.708.350;;educativo; JMD Arganzuela ; Arganzuela ;90,00;EULEN;12/02/2049
23;1541;CDM MARQUÉS DE SAMARANCH;Pº IMPERIAL 20;439131;4473248;4.040.761.501.410.640;-37.173.807.221.939.100;11.523;deportivo; JMD Arganzuela ; Arganzuela ;90,00;EULEN;10/03/2049
24;1119;CDI ARGANZUELA;C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16;440979;4472617;4.040.207.279.862.860;-36.955.325.387.824.000;12.470;mixto; JMD Arganzuela ; Arganzuela ;10,00;;28/02/2050
25;1916;CDM ARGANZUELA LA FUNDI;C/ ALICANTE , 14;441329;4471761;4.039.437.715.885.100;-3.691.341.060.146.100;;deportivo; JMD Arganzuela ; Arganzuela ;8,20;DRAGADOS;14/12/2049
26;853;CC Y BIBLIOTECA GLORIA FUERTES;AV/ LOGROÑO 181;449666;4479054;40.460.622.835.379.600;-35.936.877.657.335.900;;cultural; JMD Barajas ; Barajas ;11,70;EULEN;01/04/2049
27;854;CMM ACUARIO;C/ ACUARIO, 27;450862;4480620;40.474.801.968.086.500;-35.796.914.517.468.600;;social; JMD Barajas ; Barajas ;5,00;;29/09/2038
28;2049;CC SAN FRANCISCO LA PRENSA;C/ALISEDA, 6 ;437044;4469856;4.037.690.319.217.390;-3.741.639.735.552.090;;cultural; JMD Carabanchel ; Carabanchel ;3,00;AURA;25/09/2048
29;330;CSC GARCÍA LORCA;C/ EUGENIA DE MONTIJO, 105, B 1;436243;4469562;4.037.420.290.010.210;-37.510.337.449.848.600;;cultural; JMD Carabanchel ; Carabanchel ;3,00;AURA;07/03/2049
30;974;ANTIGUO CANÓDROMO;C/ VÍA CARPETANA, 71;437604;4472194;4.039.801.608.457.680;-37.352.725.040.539.500;;deportivo; JMD Carabanchel ; Carabanchel ;12,50;EULEN;14/12/2049
31;191;CEIP FERNANDO EL CATÓLICO;C/ FERNANDO EL CATÓLICO, 16;439802;4476182;40.434.103.689.530.400;-37.097.392.943.348.200;;educativo; JMD Chamberí ; Chamberí ;27,50;PECSA;24/10/2048
32;1104;JMD CIUDAD LINEAL (CMM, CC, BIBLIOTECA);C/ HERMANOS GARCÍA NOBLEJAS, 16;445975;4476345;4.043.599.597.484.310;-3.636.977.491.626.700;7.239;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;17,50;PECSA;21/01/2048
33;702;"CENTRO DE DÍA Y DE MAYORES ASCAO/
BIBLIOTECA PABLO NERUDA";C/ ASCAO, 2;445600;4475637;4.042.958.439.423.380;-36.413.497.414.718.700;3.542;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;15,00;PECSA;22/08/2048
34;1103;CC LA ELIPA Y CSS SANTA FELICIDAD;C/SANTA FELICIDAD, 37;444825;4475074;4.042.447.060.804.350;-36.504.253.324.201.100;2.380;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;25,00;PECSA;21/01/2048
35;223;CC Y CMM SAN JUAN BAUTISTA;C/ SAN NEMESIO, 1;444202;4478162;4.045.224.737.965.270;-36.580.402.287.911.900;2.167;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;10,00;PECSA;21/01/2048
36;214;CMM Y CSS LUIS VIVES;C/ HERMANOS GARCÍA NOBLEJAS, 170;446786;4475211;40.423.960.764.556.200;-3.628.588.601.009.720;1.378;social; JMD Ciudad Lineal ; Ciudad Lineal ;15,00;PECSA;24/10/2048
37;509;CMM ISLAS FILIPINAS, CENTRO JUVENIL Y BIBLIOTECA LA ELIPA;C/ NUESTRA SEÑORA DEL VILLAR, 8;444814;4475167;4.042.342.659.084.210;-3.651.841.641.389.480;2.250;social; JMD Ciudad Lineal ; Ciudad Lineal ;5,20;AVELSA (Avance Electrico S.L) ;01/09/2048
38;2094;CSS SAN VICENTE DE PAUL; C/BUITRAGO DE LOZOYA 22;439255;4480448;4.047.248.462.688.410;-3.716.607.833.008.470;;social; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;7,50;ORTHEM;07/03/2049
39;2446;EI ELENA FORTÚN (MONTECARMELO);AV/ M.º SILOS 57 / CAAVEIRO;441162;4484225;40.506.657;-3.694.447;;educativo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;50,00;Ortiz;28/05/2049
40;1950;CDM VICENTE DEL BOSQUE;AV/ MONFORTE DE LEMOS, 13;441216;4481146;404.789.135.943.213;-3.693.540.659.747.280;7.507;deportivo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;7,00;DRAGADOS;11/12/2049
41;1771;CDM LA MASÓ;C/ DE LA MASÓ, 190 BJ ;439451;4481771;4.048.442.599.932.080;-37.144.222.564.719.800;8.469;deportivo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;7,50;;26/04/2049
42;2444;EI EL FRESNO;C/MARIA CASARES, 15 ;438637;4482886;40.494.405;-3.724.127;;educativo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;7,50;CONDISA;12/02/2049
43;2443;EI POETA GLORIA FUERTES (LAS TABLAS);C/ EUNATE 6 C/CASTILLO DE CANDANCHÚ 42-46;442700;4484024;40.504.951;-3.676.283;;educativo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;12,50;DRAGADOS;15/11/2048
44;1937;CDM LUIS ARAGONÉS;C/PROVENCIO 20;446795;4479520;40.464.650.948.053.800;-36.275.877.145.025.800;5.588;deportivo; JMD Hortaleza ; Hortaleza ;20,00;DRAGADOS;22/02/2049
45;2204;CC SANCHINARRO Y BIBLIOTECA MARÍA LEJÁRRAGA;C/ PRINCESA ÉBOLI, 29;444469;4482391;4.049.035.310.157.370;-3.655.261.744.717.250;;cultural; JMD Hortaleza ; Hortaleza ;13,50;DRAGADOS;07/03/2049
46;1380;JMD HORTALEZA;CARRETERA DE CANILLAS 2;444286;4479355;4.046.299.114.016.900;-36.571.542.769.919.400;;administrativo; JMD Hortaleza ; Hortaleza ;20,00;DRAGADOS;19/11/2048
47;895;CC FEDERICO CHUECA ;C/ BENITA ÁVILA, 17;444847;4479572;4.046.498.334.634.000;-3.650.568.266.584.690;;cultural; JMD Hortaleza ; Hortaleza ;27,00;AURA;22/11/2048
48;547;JMD LATINA;AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL);435041;4470644;4.038.385.718.043.740;-37.653.019.593.724.200;5.193;administrativo; JMD Latina ; Latina ;17,00;FERROVIAL;08/02/2049
49;2148;CDM LAS CRUCES;AV/ POBLADOS, S/N BJ - ;435779;4470115;40.379.148.937.377.300;-3.756.554.762.411.960;;deportivo; JMD Latina ; Latina ;50,00;AURA;25/05/2049
50;2299;CENTRO DE DÍA GERTRUDIS DE LA FUENTE;C/ ALHAMBRA / C/ CUÑA LATINA DOS, 2;437062;4472332;4.039.922.282.184.550;-3.741.656.241.718.050;1.768;social; JMD Latina ; Latina ;12,00;;08/08/2046
51;2260;CENTRO DE ACOGIDA MUNICIPAL PUERTA ABIERTA;C/ PINAR DE SAN JOSE , 104 - MADRID (28054);434109;4468407;4.036.362.321.657.020;-3.776.049.860.378.440;4.132;social; JMD Latina ; Latina ;20,00;AURA;19/02/2050
52;1140;CDM GALLUR;C/ GALLUR, 2;437595;4472245;40.398.465.832.065;-37.353.834.506.869.200;6.305;deportivo; JMD Latina ; Latina ;6,00;CYOPSA;06/12/2048
53;2447;EI BOLA DE CRISTAL (VALDEZARZA);C/ ISLAS BISAGOS, 13;439360;4479933;40.467.857;-3.715.308;;educativo; JMD Moncloa Aravaca ; Moncloa Aravaca ;12,00;CONDISA (grupo Ortiz);23/01/2049
54;1931;IDM LA BOMBILLA;Paseo Senda del Rey, 8;437798;4476478;40.436.623;-3.733.391;;deportivo; JMD Moncloa Aravaca ; Moncloa Aravaca ;10,00;PECSA;24/10/2048
55;1272;CC EDUARDO CHILLIDA Y BIBLIOTECA MIGUEL DELIBES;C/ ARROYO BELINCOSO, 9;444577;4473403;4.040.939.173.676.510;-3.653.214.777.359.330;;cultural; JMD Moratalaz ; Moratalaz ;12,50;PECSA;24/10/2048
56;2138;CMM/CSS LADERA EL ALMENDRO;C/ LADERA DE LOS ALMENDROS, 4-6;447057;4472576;4.040.210.302.381.570;-36.239.189.412.211.400;;social; JMD Moratalaz ; Moratalaz ;6,00;CYOPSA;20/09/2048
57;2461;EI SABINA (MORATALAZ);C/ CAÑÓN DEL RIO LOBOS;446468;4472964;40.405.577;-3.630.877;;educativo; JMD Moratalaz ; Moratalaz ;40,00;FERROVIAL;03/03/2049
58;1938;CDM MORATALAZ;C/ VALDEBERNARDO 2;446331;4472220;4.039.885.854.572.330;-3.632.432.290.214.530;8.104;deportivo; JMD Moratalaz ; Moratalaz ;12,50;OHL;25/03/2049
59;1745;CSS  Y APARTAMENTOS TUTELADOS RETIRO;C/ JOSE MARTÍNEZ DE VELASCO, 22;443346;4473992;4.041.461.489.944.010;-3.667.774.590.446.810;;social; JMD Retiro ; Retiro ;7,00;OHL;03/03/2049
60;97;CEIP ESCUELAS AGUIRRE;C/ PIO BAROJA 4;442787;4473989;4.041.454.970.248.990;-3.674.350.860.475.640;;educativo; JMD Retiro ; Retiro ;7,00;OHL;03/03/2049
61;124;CEIP JOSE CALVO SOTELO;AV/ CIUDAD DE BARCELONA, 83;442826;4472467;404.008.413.126.834;-36.737.662.524.006.700;;educativo; JMD Retiro ; Retiro ;40,00;OHL;03/03/2049
62;750;CEIP CIUDAD DE ROMA;C/ JUAN ESPLANDIÚ,2 ;443564;4474129;4.041.586.394.930.110;-3.665.205.626.185.560;;educativo; JMD Retiro ; Retiro ;12,50;;23/10/2046
63;2391;CMM LA ESTRELLA - CARMEN MARTÍN GAITE;C/ PEZ AUSTRAL 6 - 28007 MADRID;443476;4473852;4.041.337.871.863.890;-36.662.090.478.322.400;;social; JMD Retiro ; Retiro ;3,70;FERROVIAL;20/09/2048
64;1035;CMM/CENTRO DIA/CSS LA GUINDALERA;C/ PILAR DE ZARAGOZA, 28, Bajo;443247;4476088;4.043.349.910.050.290;-36.691.167.784.691.700;;social; JMD Salamanca ; Salamanca ;7,20;FERROVIAL;13/11/2048
65;35;CC BUENAVISTA Y BIBLIOTECA DAVID GISTAU;AV DE LOS TOREROS, 5;443092;4475923;4.043.200.210.571.460;-36.709.293.330.780.200;;cultural; JMD Salamanca ; Salamanca ;15,00;DRAGADOS;19/11/2048
66;2074;CC JOSE LUIS LÓPEZ VÁZQUEZ;C/ FEBRERO, 4;451431;4477509;40.446.818.592.300.200;-3.572.741.163.820.910;;cultural; JMD San Blas Canillejas ; San Blas Canillejas ;37,50;DRAGADOS;07/03/2049
67;1974;JMD SAN BLAS - CANILLEJAS;AV/ DE ARCENTALES, 26;448295;4476161;4.043.448.586.473.580;-36.096.102.461.466.000;;administrativo; JMD San Blas Canillejas ; San Blas Canillejas ;25,00;;15/01/2048
68;2033;CDM ANTONIO DÍAZ MIGUEL;C/JOAQUIN DICENTA, 1 ;441058;4480296;40.471.254.265.861.400;-36.953.256.978.963.800;;deportivo; JMD Tetuán ; Tetuán ;27,50;FERROVIAL;12/11/2048
69;2011;CC EDUARDO ÚRCULO Y BIBLIOTECA MARÍA ZAMBRANO;PLAZA DE DONOSO, 5;440857;4480052;4.046.903.299.144.090;-36.976.620.067.964.900;;cultural; JMD Tetuán ; Tetuán ;12,50;AURA;05/03/2048
70;1026;CSS SAN FILIBERTO;C/ SAN FILIBERTO, 5 BJ ;439298;4470826;4.038.581.767.783.420;-37.151.818.881.165.200;;social; JMD Usera ; Usera ;8,20;AURA;19/02/2048
71;1096;CMM ORCASUR;AV ORCASUR, 64;440559;4468845;4.036.805.374.722.890;-3.700.129.656.851.360;;social; JMD Usera ; Usera ;30,00;AURA;16/10/2048
72;1095;CC ORCASUR Y BIBLIOTECA GABRIEL GARCÍA MÁRQUEZ; PLAZA PUEBLO, 1 BJ1;440472;4468702;40.366.768.324.753.400;-3.701.141.063.083.800;;cultural; JMD Usera ; Usera ;5,00;AURA;14/12/2048
73;1092;JMD USERA;AV/. RAFAELA YBARRA, 41;439670;4470445;4.038.241.253.009.170;-37.107.515.747.822.300;;administrativo; JMD Usera ; Usera ;17,50;AURA;14/02/2049
74;1894;CDM ORCASUR;C/ MOREJA, 3;440727;4469292;4.037.021.993.373.850;-36.994.689.006.077.400;;deportivo; JMD Usera ; Usera ;9,70;IMESAPI;03/01/2049
75;2441;EI PENSAMIENTO (MIRASIERRA);C/ MIRASIERRA, 27 ;448843;4473366;40.409.341;-3.602.926;;educativo;  JMD Usera ; Usera ;40,00;ELECTOSA ;09/05/2048
76;1890;CDM VICÁLVARO (MARGOT MOLÉS);Pº POLIDEPORTIVO, 3;448815;4473344;4.040.914.061.858.400;-3.603.264.732.850.390;6.856;deportivo; JMD Vicálvaro ; Vicálvaro ;20,00;PECSA;12/11/2048
77;1763;CC VALDEBERNARDO Y BIBLIOTECA FRANCISCO AYALA;C/ BULEVAR INDALECIO PRIETO, 21;447278;4472321;4.039.982.891.410.400;-3.621.281.890.570.370;3.200;cultural; JMD Vicálvaro ; Vicálvaro ;8,20;PECSA;12/11/2048
78;1028;CC EL MADROÑO Y BIBLIOTECA VICÁLVARO;C/ VILLARDONDIEGO, 36;448357;4472920;40.405.292.721.436.000;-36.086.161.200.017.100;2.452;cultural; JMD Vicálvaro ; Vicálvaro ;3,70;PECSA;12/11/2048
79;1352;JMD VICÁLVARO;PLAZA DON ANTONIO DE ANDRÉS, 18;448578;4472583;40.402.270.479.784.800;-36.059.845.330.840.700;1.674;administrativo; JMD Vicálvaro ; Vicálvaro ;20,00;PECSA;12/11/2048
80;1393;CSS PUERTO DE LAS PILAS;C/ FUENTIDUEÑA,16;447222;4469088;40.370.701;-3.621.679;1.021;social; JMD Villa de Vallecas ; Villa de Vallecas ;6,00;PECSA;16/11/2048
81;277;CMM VILLA DE VALLECAS ;C/ PICO DE MAMPODRE, 6;447264;4469823;4.037.732.438.108.780;-36.212.400.484.216.900;815;social; JMD Villa de Vallecas ; Villa de Vallecas ;13,50;PECSA;16/11/2048
82;1383;JMD VILLA DE VALLECAS;Pº FEDERICO GARCÍA LORCA, 12;447248;4469998;403.788.998.244.401;-3.621.454.785.869.900;3.290;administrativo; JMD Villa de Vallecas ; Villa de Vallecas ;8,20;AURA;07/03/2048
83;1770;CDM FÉLIX RUBIO;C/CIUDADANÍA, 9;441281;4467659;40.357.429.678.675.200;-3.691.528.804.696.940;;deportivo; JMD Villaverde ; Villaverde ;10,00;AURA;19/02/2048
84;1953;CC MARCONI;AV/ MARCONI, 2 BAJO/1;440472;4465148;40.334.751.832.113.700;-3.700.809.560.921.590;;cultural; JMD Villaverde ; Villaverde ;20,00;AURA;05/03/2048
85;1905;CC LOS ROSALES (NUEVO ROSALES);AV/ LOS ROSALES, 133;442482;4466908;4.035.074.797.433.510;-36.773.064.421.969.200;;cultural; JMD Villaverde ; Villaverde ;10,00;AURA;19/02/2048
86;1031;CC BOHEMIOS;C/ BOHEMIOS 1, B1;441066;4467547;4.035.639.654.251.880;-36.940.501.846.610.800;;cultural; JMD Villaverde ; Villaverde ;17,50;AURA;12/11/2048
87;1109;JMD VILLAVERDE;C/ ARROYO BUENO, 53, Sot Dch 1;439603;4466726;40.348.895.848.554.600;-371.120.030.905.872;;administrativo; JMD Villaverde ; Villaverde ;10,00;AURA;29/01/2050
88;1895;CDM EL ESPINILLO;CARRETERA DE VILLAVERDE A VALLECAS, 19;441698;4467536;4.035.634.193.991.930;-3.686.595.141.820.630;;deportivo; JMD Villaverde ; Villaverde ;5,00;UGARTE;03/01/2049
89;2438;EI MAMUT  (BUTARQUE);C/ MARICARA, 32;442483;4465459;40.337.689;-3.677.163;;educativo; JMD Villaverde ; Villaverde ;25,00;FERROVIAL;18/10/2049
90;155;PARQUE BOMBEROS Nº 8;CALLE BOADA 9;444572;4471763;4.039.461.731.837.050;-36.531.308.970.881.300;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Puente de Vallecas ;9,80;SAVEFFI;25/03/2050
91;;CC RUBÉN DARÍO/CASA ASOCIACIONES HORTALEZA ;CALLE MATAPOZUELOS 2;444896;4479194;40.461.589;-3.649.947;;mixto; JMD Hortaleza ; Hortaleza ;8,20;;18/10/2049
92;;EI PLÉYADES;AVENIDA SECUNDINO ZUAZO 52;447428;4482921;4.049.533.034.052.690;-362.038.557.307.297;;educativo; JMD Hortaleza ; Hortaleza ;5,00;SAVEFFI;18/10/2049
93;;CMM VALLEHERMOSO;CALLE VALLEHERMOSO 47;439883;4476241;40.434.646;-3.708.785;;social; JMD Chamberí ; Chamberí ;8,80;ACCIONA;20/11/2050
94;1208;BIBLIOTECA GERARDO DIEGO;CALLE  MONTE AYA,  12;447138;4469889;4.037.790.196.240.430;-36.227.296.605.039.500;;cultural; JMD Villa de Vallecas ; Villa de Vallecas ;15,00;ACCIONA;03/12/2050
95;1912;BIBLIOTECA MANUEL VÁZQUEZ MONTALBÁN;CALLE FRANCOS RODRÍGUEZ, 67;439742;4478747;40.457.184.075.958.200;-3,71E+16;;cultural; JMD Tetuán ; Tetuán ;75,00;ACCIONA;18/10/2049
96;1114;CDM PLATA Y CASTAÑAR;PASEO  PLATA Y CASTAÑAR,  7;439040;4466852;4.034.998.997.348.070;-37.178.413.073.202.800;;deportivo; JMD Villaverde ; Villaverde  ;30,00;SAVEFFI;16/12/2050
99;1930;CDM JOSE MARIA CAGIGAL;C/ SANTA POLA, 22;437491;4475985;4.043.214.955.342.780;-37.369.645.992.831.300;;deportivo; JMD Moncloa Aravaca ; Moncloa Aravaca ;10,20;;10/11/2050
103;149;CEIP SAN JUAN DE LA CRUZ;C/ DE HONDURAS, 10, 28016 MADRID;442495;4479193;40.459.537.375.982.200;-367.954.186.336.266;;educativo; JMD Chamartín ; Chamartín ;20,40;;10/11/2050
104;363;CEIP ARQUITECTO GAUDÍ;C/ ROSA JARDÓN, 10, 28016 MADRID;443279;4479632;4.046.541.828.100.190;-3.669.067.772.820.540;;educativo; JMD Chamartín ; Chamartín ;25,00;;17/11/2050
105;212;CEIP ISAAC ALBÉNIZ;C/ DRACENA, 29, 28016 MADRID;443272;4479500;4.046.422.875.441.010;-36.691.267.410.574.400;;educativo; JMD Chamartín ; Chamartín ;20,40;;10/11/2050
106;245;CEIP PADRE POVEDA;AV/ ALFONSO XIII, 23, 28002 MADRID;443380;4478055;40.451.218.874.985.800;-36.677.240.367.753.100;;educativo; JMD Chamartín ; Chamartín ;15,00;;10/11/2051
119;;EI PARQUE INGENIEROS;C/TABERNERA DEL PUERTO 26;440213;4467439;40.355.369.099.561.700;-3.704.068.831.577.450;;educativo; JMD Villaverde ; Villaverde ;5,00;;10/11/2050
127;165;UID MONCLOA-ARAVACA;AVDA. VALLADOLID, 6;438135;4475651;40.429.216.284.496.400;-37.295.712.734.839.400;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Moncloa Aravaca ;5,00;FERROVIAL;04/01/2051
130;140;CENTRO ACOGIDA SAN ISIDRO;PASEO DEL REY 34;438682;4475287;4.042.596;-372.286;; social ; AG de Familias, Igualdad y Bienestar Social ; Moncloa Aravaca ;8,20;;10/11/2050
132;1942;CDM SAN BLAS;C/ ARCOS DE JALÓN,  59;448173;4475549;404.289.614.183.123;-36.110.021.948.964.400;; deportivo ; JMD San Blas Canillejas ; San Blas Canillejas ;35,00;;28/04/2051
133;;UID HORTALEZA;C/AREQUIPA , 2;445584;4480019;4.046.906.622.683.730;-3.641.900.373.589.660;; seguridad ; AG de Portavoz, Seguridad y Emergencias ; Hortaleza ;8,80;AURA;12/08/2051
134;;CDM JUAN DE DIOS ROMÁN;C/JOSÉ GUTIÉRREZ MAROTO, 34;448935;4468432;403.648.918.241.858;-3.601.441.011.212.610;; deportivo ; JMD Villa de Vallecas ; Villa de Vallecas ;27,20;FERROVIAL;01/10/2051
