Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
1;2178;BIBLIOTECA ÁNGEL GONZALEZ;C/ GRANJA DE TORREHERMOSA, 2 ;434954;4472113;40.397074625115900;-3.7664885474841500;;cultural; AG Cultura Turismo y Deportes ; Latina ;20;ORTIZ;31/07/2049
2;782;BIBLIOTECA IVÁN DE VARGAS;C/ DOCTOR LETAMENDI, 1;439775;4473962;40.41410290844660;-3.7098591212735800;;cultural; AG Cultura Turismo y Deportes ; Centro ;20;ORTIZ;24/07/2049
3;2096;BIBLIOTECA EUGENIO TRIAS (CASA FIERAS);AV/ MENENDEZ PELAYO , 10-3 BJ ;442345;4474221;40.4166091081099;-3.6795930368034800;;cultural; AG Cultura Turismo y Deportes ; Retiro ;20;ORTIZ;24/07/2049
4;1046;PLANETARIO;AV/ PLANETARIO 16;441830;4471375;40.36861554413500;-3.74573026512817;3.062;cultural; AG Cultura Turismo y Deportes ; Arganzuela ;25;FULTON;13/09/2049
5;2143;MADRID EMPRENDE;C/CIDRO, 3 ;436689;4468938;40.390628;-3.669802;;administrativo; AG Economía, Innovación y Empleo ; Carabanchel ;10;;20/09/2048
6;1779;MARES MADRID;C/ FRANCISCO LAGUNA 38;443153;4471330;40.347177;-3.696499;;administrativo; AG Economía, Innovación y Empleo ; Puente de Vallecas  ;5;ETRALUX;20/09/2048
7;2639;NAVE BOETTICHER;C/ CIFUENTES, 22 28021 MADRID;440849;4466524;40.346099;-3.710522;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;7;AURA;15/01/2049
8;;MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO;PASEO ALBERTO PALACIOS, 13;439657;4466414;40.45914104116340;-3.718270563679260;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;2,5;;13/08/2038
9;317;AULA DE LA NATURALEZA DEHESA DE LA VILLA;C/ FRANCOS RODRIGUEZ, 97 ;439102;4478967;40.40943503279110;-3.6861797800993200;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;20/09/2048
10;;VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO;"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)";441779;4473428;40.43686257147040;-3.7381715230490400;;medioambiental; AG de Medio Ambiente y Movilidad ; Retiro ;5;;20/09/2048
12;;VIVERO MUNICIPAL DE MIGAS CALIENTES;"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.";437394;4476508;40.426646;-3.721771;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;20/09/2048
13;;ROSALEDA DEL PARQUE DEL OESTE;"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)";438775;4475363;40.379145542145500;-3.6142474191270000;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;17,5;SAVEFFI;11/06/2048
14;2520;ALMACÉN DE LA VILLA;C/ AHUMAOS, 27 28052 MADRID;449323;4471841;40.380148;-3.765466;;almacén; AG Obras y Equipamientos ; Vicálvaro ;20;PECSA;11/06/2048
15;1392;UID VILLA DE VALLECAS;AV/ REAL DE ARGANDA, 64   ;447969;4470229;40.363546309643300;-3.778110067286680;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Villa de Vallecas ;6;AURA;14/02/2048
16;1704;BASE 14 SAMUR;C/ CASUARINA, 10;435024;4470233;40.42832883917410;-3.6154373664644300;;sanitario; AG de Portavoz, Seguridad y Emergencias ; Latina ;9,9;POWEN;21/06/2048
17;1904;CENTRO PROTECCIÓN ANIMAL;CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054;433934;4468399;40.39401854488280;-3.697052144961610;;sanitario; MADRID SALUD ; Latina ;5;AURA;14/02/2050
18;1372;PARQUE BOMBEROS Nº 6;C/ SAN BERNARDO, 68 ;440066;4475362;40.39390298324830;-3.680551491708350;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Centro ;35;FERROVIAL;13/02/2048
19;594;PARQUE DE BOMBEROS Nº 7;Av Hellin, 52;447796;4475482;40.40761501410640;-3.7173807221939100;;seguridad; AG de Portavoz, Seguridad y Emergencias ; San Blas Canillejas ;25;FERROVIAL;01/10/2049
20;351;PARQUE DE BOMBEROS Nº 11;C/ Mesena, 146;443623;4480593;40.40207279862860;-3.6955325387824000;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Hortaleza ;17;;29/09/2038
21;2051;CSS JOSÉ VILLARREAL (ARGANZUELA);PLAZA JOSE VILLARREAL, 2 ;440953;4471932;40.460622835379600;-3.5936877657335900;;social; JMD Arganzuela ; Arganzuela ;7,5;IMESAPI;07/05/2049
22;2440;EI LA MELONERA ;C/ EROS, 2;442243;4471700;40.474801968086500;-3.5796914517468600;;educativo; JMD Arganzuela ; Arganzuela ;90;EULEN;12/02/2049
23;1541;CDM MARQUÉS DE SAMARANCH;Pº IMPERIAL 20;439131;4473248;40.37690319217390;-3.741639735552090;11.523;deportivo; JMD Arganzuela ; Arganzuela ;90;EULEN;10/03/2049
24;1119;CDI ARGANZUELA;C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16;440979;4472617;40.37420290010210;-3.7510337449848600;12.470;mixto; JMD Arganzuela ; Arganzuela ;10;;28/02/2050
25;1916;CDM ARGANZUELA LA FUNDI;C/ ALICANTE , 14;441329;4471761;40.39801608457680;-3.7352725040539500;;deportivo; JMD Arganzuela ; Arganzuela ;8,2;DRAGADOS;14/12/2049
26;853;CC Y BIBLIOTECA GLORIA FUERTES;AV/ LOGROÑO 181;449666;4479054;40.434103689530400;-3.7097392943348200;;cultural; JMD Barajas ; Barajas ;11,7;EULEN;01/04/2049
27;854;CMM ACUARIO;C/ ACUARIO, 27;450862;4480620;40.43599597484310;-3.636977491626700;;social; JMD Barajas ; Barajas ;5;;29/09/2038
28;2049;CC SAN FRANCISCO LA PRENSA;C/ALISEDA, 6 ;437044;4469856;40.42958439423380;-3.6413497414718700;;cultural; JMD Carabanchel ; Carabanchel ;3;AURA;25/09/2048
29;330;CSC GARCÍA LORCA;C/ EUGENIA DE MONTIJO, 105, B 1;436243;4469562;40.42447060804350;-3.6504253324201100;;cultural; JMD Carabanchel ; Carabanchel ;3;AURA;07/03/2049
30;974;ANTIGUO CANÓDROMO;C/ VÍA CARPETANA, 71;437604;4472194;40.45224737965270;-3.6580402287911900;;deportivo; JMD Carabanchel ; Carabanchel ;12,5;EULEN;14/12/2049
31;191;CEIP FERNANDO EL CATÓLICO;C/ FERNANDO EL CATÓLICO, 16;439802;4476182;40.423960764556200;-3.628588601009720;;educativo; JMD Chamberí ; Chamberí ;27,5;PECSA;24/10/2048
32;1104;JMD CIUDAD LINEAL (CMM, CC, BIBLIOTECA);C/ HERMANOS GARCÍA NOBLEJAS, 16;445975;4476345;40.42342659084210;-3.651841641389480;7.239;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;17,5;PECSA;21/01/2048
33;702;"CENTRO DE DÍA Y DE MAYORES ASCAO/
BIBLIOTECA PABLO NERUDA";C/ ASCAO, 2;445600;4475637;40.47248462688410;-3.716607833008470;3.542;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;15;PECSA;22/08/2048
34;1103;CC LA ELIPA Y CSS SANTA FELICIDAD;C/SANTA FELICIDAD, 37;444825;4475074;40.506657;-3.694447;2.380;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;25;PECSA;21/01/2048
35;223;CC Y CMM SAN JUAN BAUTISTA;C/ SAN NEMESIO, 1;444202;4478162;40.4789135943213;-3.693540659747280;2.167;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;10;PECSA;21/01/2048
36;214;CMM Y CSS LUIS VIVES;C/ HERMANOS GARCÍA NOBLEJAS, 170;446786;4475211;40.494405;-3.724127;1.378;social; JMD Ciudad Lineal ; Ciudad Lineal ;15;PECSA;24/10/2048
37;509;CMM ISLAS FILIPINAS, CENTRO JUVENIL Y BIBLIOTECA LA ELIPA;C/ NUESTRA SEÑORA DEL VILLAR, 8;444814;4475167;40.504951;-3.676283;2.250;social; JMD Ciudad Lineal ; Ciudad Lineal ;5,2;AVELSA (Avance Electrico S.L) ;01/09/2048
38;2094;CSS SAN VICENTE DE PAUL; C/BUITRAGO DE LOZOYA 22;439255;4480448;40.464650948053800;-3.6275877145025800;;social; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;7,5;ORTHEM;07/03/2049
39;2446;EI ELENA FORTÚN (MONTECARMELO);AV/ M.º SILOS 57 / CAAVEIRO;441162;4484225;40.49035310157370;-3.655261744717250;;educativo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;50;Ortiz;28/05/2049
40;1950;CDM VICENTE DEL BOSQUE;AV/ MONFORTE DE LEMOS, 13;441216;4481146;40.46299114016900;-3.6571542769919400;7.507;deportivo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;7;DRAGADOS;11/12/2049
41;1771;CDM LA MASÓ;C/ DE LA MASÓ, 190 BJ ;439451;4481771;40.46498334634000;-3.650568266584690;8.469;deportivo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;7,5;;26/04/2049
42;2444;EI EL FRESNO;C/MARIA CASARES, 15 ;438637;4482886;40.38385718043740;-3.7653019593724200;;educativo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;7,5;CONDISA;12/02/2049
43;2443;EI POETA GLORIA FUERTES (LAS TABLAS);C/ EUNATE 6 C/CASTILLO DE CANDANCHÚ 42-46;442700;4484024;40.379148937377300;-3.756554762411960;;educativo; JMD Fuercarral El Pardo ; Fuencarral El Pardo ;12,5;DRAGADOS;15/11/2048
44;1937;CDM LUIS ARAGONÉS;C/PROVENCIO 20;446795;4479520;40.39922282184550;-3.741656241718050;5.588;deportivo; JMD Hortaleza ; Hortaleza ;20;DRAGADOS;22/02/2049
45;2204;CC SANCHINARRO Y BIBLIOTECA MARÍA LEJÁRRAGA;C/ PRINCESA ÉBOLI, 29;444469;4482391;40.36362321657020;-3.776049860378440;;cultural; JMD Hortaleza ; Hortaleza ;13,5;DRAGADOS;07/03/2049
46;1380;JMD HORTALEZA;CARRETERA DE CANILLAS 2;444286;4479355;40.467857;-3.715308;;administrativo; JMD Hortaleza ; Hortaleza ;20;DRAGADOS;19/11/2048
47;895;CC FEDERICO CHUECA ;C/ BENITA ÁVILA, 17;444847;4479572;40.436623;-3.733391;;cultural; JMD Hortaleza ; Hortaleza ;27;AURA;22/11/2048
48;547;JMD LATINA;AV/ LAS AGUILAS, 2 (ANT AV/DEL GENERAL FANJUL);435041;4470644;40.40939173676510;-3.653214777359330;5.193;administrativo; JMD Latina ; Latina ;17;FERROVIAL;08/02/2049
49;2148;CDM LAS CRUCES;AV/ POBLADOS, S/N BJ - ;435779;4470115;40.40210302381570;-3.6239189412211400;;deportivo; JMD Latina ; Latina ;50;AURA;25/05/2049
50;2299;CENTRO DE DÍA GERTRUDIS DE LA FUENTE;C/ ALHAMBRA / C/ CUÑA LATINA DOS, 2;437062;4472332;40.405577;-3.630877;1.768;social; JMD Latina ; Latina ;12;;08/08/2046
51;2260;CENTRO DE ACOGIDA MUNICIPAL PUERTA ABIERTA;C/ PINAR DE SAN JOSE , 104 - MADRID (28054);434109;4468407;40.39885854572330;-3.632432290214530;4.132;social; JMD Latina ; Latina ;20;AURA;19/02/2050
52;1140;CDM GALLUR;C/ GALLUR, 2;437595;4472245;40.41461489944010;-3.667774590446810;6.305;deportivo; JMD Latina ; Latina ;6;CYOPSA;06/12/2048
53;2447;EI BOLA DE CRISTAL (VALDEZARZA);C/ ISLAS BISAGOS, 13;439360;4479933;40.41454970248990;-3.674350860475640;;educativo; JMD Moncloa Aravaca ; Moncloa Aravaca ;12;CONDISA (grupo Ortiz);23/01/2049
54;1931;IDM LA BOMBILLA;Paseo Senda del Rey, 8;437798;4476478;40.4008413126834;-3.6737662524006700;;deportivo; JMD Moncloa Aravaca ; Moncloa Aravaca ;10;PECSA;24/10/2048
55;1272;CC EDUARDO CHILLIDA Y BIBLIOTECA MIGUEL DELIBES;C/ ARROYO BELINCOSO, 9;444577;4473403;40.41586394930110;-3.665205626185560;;cultural; JMD Moratalaz ; Moratalaz ;12,5;PECSA;24/10/2048
56;2138;CMM/CSS LADERA EL ALMENDRO;C/ LADERA DE LOS ALMENDROS, 4-6;447057;4472576;40.41337871863890;-3.6662090478322400;;social; JMD Moratalaz ; Moratalaz ;6;CYOPSA;20/09/2048
57;2461;EI SABINA (MORATALAZ);C/ CAÑÓN DEL RIO LOBOS;446468;4472964;40.43349910050290;-3.6691167784691700;;educativo; JMD Moratalaz ; Moratalaz ;40;FERROVIAL;03/03/2049
58;1938;CDM MORATALAZ;C/ VALDEBERNARDO 2;446331;4472220;40.43200210571460;-3.6709293330780200;8.104;deportivo; JMD Moratalaz ; Moratalaz ;12,5;OHL;25/03/2049
59;1745;CSS  Y APARTAMENTOS TUTELADOS RETIRO;C/ JOSE MARTÍNEZ DE VELASCO, 22;443346;4473992;40.446818592300200;-3.572741163820910;;social; JMD Retiro ; Retiro ;7;OHL;03/03/2049
60;97;CEIP ESCUELAS AGUIRRE;C/ PIO BAROJA 4;442787;4473989;40.43448586473580;-3.6096102461466000;;educativo; JMD Retiro ; Retiro ;7;OHL;03/03/2049
61;124;CEIP JOSE CALVO SOTELO;AV/ CIUDAD DE BARCELONA, 83;442826;4472467;40.471254265861400;-3.6953256978963800;;educativo; JMD Retiro ; Retiro ;40;OHL;03/03/2049
62;750;CEIP CIUDAD DE ROMA;C/ JUAN ESPLANDIÚ,2 ;443564;4474129;40.46903299144090;-3.6976620067964900;;educativo; JMD Retiro ; Retiro ;12,5;;23/10/2046
63;2391;CMM LA ESTRELLA - CARMEN MARTÍN GAITE;C/ PEZ AUSTRAL 6 - 28007 MADRID;443476;4473852;40.38581767783420;-3.7151818881165200;;social; JMD Retiro ; Retiro ;3,7;FERROVIAL;20/09/2048
64;1035;CMM/CENTRO DIA/CSS LA GUINDALERA;C/ PILAR DE ZARAGOZA, 28, Bajo;443247;4476088;40.36805374722890;-3.700129656851360;;social; JMD Salamanca ; Salamanca ;7,2;FERROVIAL;13/11/2048
65;35;CC BUENAVISTA Y BIBLIOTECA DAVID GISTAU;AV DE LOS TOREROS, 5;443092;4475923;40.366768324753400;-3.701141063083800;;cultural; JMD Salamanca ; Salamanca ;15;DRAGADOS;19/11/2048
66;2074;CC JOSE LUIS LÓPEZ VÁZQUEZ;C/ FEBRERO, 4;451431;4477509;40.38241253009170;-3.7107515747822300;;cultural; JMD San Blas Canillejas ; San Blas Canillejas ;37,5;DRAGADOS;07/03/2049
67;1974;JMD SAN BLAS - CANILLEJAS;AV/ DE ARCENTALES, 26;448295;4476161;40.37021993373850;-3.6994689006077400;;administrativo; JMD San Blas Canillejas ; San Blas Canillejas ;25;;15/01/2048
68;2033;CDM ANTONIO DÍAZ MIGUEL;C/JOAQUIN DICENTA, 1 ;441058;4480296;40.409341;-3.602926;;deportivo; JMD Tetuán ; Tetuán ;27,5;FERROVIAL;12/11/2048
69;2011;CC EDUARDO ÚRCULO Y BIBLIOTECA MARÍA ZAMBRANO;PLAZA DE DONOSO, 5;440857;4480052;40.40914061858400;-3.603264732850390;;cultural; JMD Tetuán ; Tetuán ;12,5;AURA;05/03/2048
70;1026;CSS SAN FILIBERTO;C/ SAN FILIBERTO, 5 BJ ;439298;4470826;40.39982891410400;-3.621281890570370;;social; JMD Usera ; Usera ;8,2;AURA;19/02/2048
71;1096;CMM ORCASUR;AV ORCASUR, 64;440559;4468845;40.405292721436000;-3.6086161200017100;;social; JMD Usera ; Usera ;30;AURA;16/10/2048
72;1095;CC ORCASUR Y BIBLIOTECA GABRIEL GARCÍA MÁRQUEZ; PLAZA PUEBLO, 1 BJ1;440472;4468702;40.402270479784800;-3.6059845330840700;;cultural; JMD Usera ; Usera ;5;AURA;14/12/2048
73;1092;JMD USERA;AV/. RAFAELA YBARRA, 41;439670;4470445;40.370701;-3.621679;;administrativo; JMD Usera ; Usera ;17,5;AURA;14/02/2049
74;1894;CDM ORCASUR;C/ MOREJA, 3;440727;4469292;40.37732438108780;-3.6212400484216900;;deportivo; JMD Usera ; Usera ;9,7;IMESAPI;03/01/2049
75;2441;EI PENSAMIENTO (MIRASIERRA);C/ MIRASIERRA, 27 ;448843;4473366;40.3788998244401;-3.621454785869900;;educativo;  JMD Usera ; Usera ;40;ELECTOSA ;09/05/2048
76;1890;CDM VICÁLVARO (MARGOT MOLÉS);Pº POLIDEPORTIVO, 3;448815;4473344;40.357429678675200;-3.691528804696940;6.856;deportivo; JMD Vicálvaro ; Vicálvaro ;20;PECSA;12/11/2048
77;1763;CC VALDEBERNARDO Y BIBLIOTECA FRANCISCO AYALA;C/ BULEVAR INDALECIO PRIETO, 21;447278;4472321;40.334751832113700;-3.700809560921590;3.200;cultural; JMD Vicálvaro ; Vicálvaro ;8,2;PECSA;12/11/2048
78;1028;CC EL MADROÑO Y BIBLIOTECA VICÁLVARO;C/ VILLARDONDIEGO, 36;448357;4472920;40.35074797433510;-3.6773064421969200;2.452;cultural; JMD Vicálvaro ; Vicálvaro ;3,7;PECSA;12/11/2048
79;1352;JMD VICÁLVARO;PLAZA DON ANTONIO DE ANDRÉS, 18;448578;4472583;40.35639654251880;-3.6940501846610800;1.674;administrativo; JMD Vicálvaro ; Vicálvaro ;20;PECSA;12/11/2048
80;1393;CSS PUERTO DE LAS PILAS;C/ FUENTIDUEÑA,16;447222;4469088;40.348895848554600;-3.71120030905872;1.021;social; JMD Villa de Vallecas ; Villa de Vallecas ;6;PECSA;16/11/2048
81;277;CMM VILLA DE VALLECAS ;C/ PICO DE MAMPODRE, 6;447264;4469823;40.337689;-3.677163;815;social; JMD Villa de Vallecas ; Villa de Vallecas ;13,5;PECSA;16/11/2048
82;1383;JMD VILLA DE VALLECAS;Pº FEDERICO GARCÍA LORCA, 12;447248;4469998;40.49533034052690;-3.62038557307297;3.290;administrativo; JMD Villa de Vallecas ; Villa de Vallecas ;8,2;AURA;07/03/2048
83;1770;CDM FÉLIX RUBIO;C/CIUDADANÍA, 9;441281;4467659;40.434646;-3.708785;;deportivo; JMD Villaverde ; Villaverde ;10;AURA;19/02/2048
84;1953;CC MARCONI;AV/ MARCONI, 2 BAJO/1;440472;4465148;40.397074625115900;-3.7664885474841500;;cultural; JMD Villaverde ; Villaverde ;20;AURA;05/03/2048
85;1905;CC LOS ROSALES (NUEVO ROSALES);AV/ LOS ROSALES, 133;442482;4466908;40.41410290844660;-3.7098591212735800;;cultural; JMD Villaverde ; Villaverde ;10;AURA;19/02/2048
86;1031;CC BOHEMIOS;C/ BOHEMIOS 1, B1;441066;4467547;40.4166091081099;-3.6795930368034800;;cultural; JMD Villaverde ; Villaverde ;17,5;AURA;12/11/2048
87;1109;JMD VILLAVERDE;C/ ARROYO BUENO, 53, Sot Dch 1;439603;4466726;40.36861554413500;-3.74573026512817;;administrativo; JMD Villaverde ; Villaverde ;10;AURA;29/01/2050
88;1895;CDM EL ESPINILLO;CARRETERA DE VILLAVERDE A VALLECAS, 19;441698;4467536;40.390628;-3.669802;;deportivo; JMD Villaverde ; Villaverde ;5;UGARTE;03/01/2049
89;2438;EI MAMUT  (BUTARQUE);C/ MARICARA, 32;442483;4465459;40.347177;-3.696499;;educativo; JMD Villaverde ; Villaverde ;25;FERROVIAL;18/10/2049
90;155;PARQUE BOMBEROS Nº 8;CALLE BOADA 9;444572;4471763;40.346099;-3.710522;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Puente de Vallecas ;9,8;SAVEFFI;25/03/2050
91;;CC RUBÉN DARÍO/CASA ASOCIACIONES HORTALEZA ;CALLE MATAPOZUELOS 2;444896;4479194;40.45914104116340;-3.718270563679260;;mixto; JMD Hortaleza ; Hortaleza ;8,2;;18/10/2049
92;;EI PLÉYADES;AVENIDA SECUNDINO ZUAZO 52;447428;4482921;40.40943503279110;-3.6861797800993200;;educativo; JMD Hortaleza ; Hortaleza ;5;SAVEFFI;18/10/2049
93;;CMM VALLEHERMOSO;CALLE VALLEHERMOSO 47;439883;4476241;40.43686257147040;-3.7381715230490400;;social; JMD Chamberí ; Chamberí ;8,8;ACCIONA;20/11/2050
94;1208;BIBLIOTECA GERARDO DIEGO;CALLE  MONTE AYA,  12;447138;4469889;40.426646;-3.721771;;cultural; JMD Villa de Vallecas ; Villa de Vallecas ;15;ACCIONA;03/12/2050
95;1912;BIBLIOTECA MANUEL VÁZQUEZ MONTALBÁN;CALLE FRANCOS RODRÍGUEZ, 67;439742;4478747;40.379145542145500;-3.6142474191270000;;cultural; JMD Tetuán ; Tetuán ;75;ACCIONA;18/10/2049
96;1114;CDM PLATA Y CASTAÑAR;PASEO  PLATA Y CASTAÑAR,  7;439040;4466852;40.380148;-3.765466;;deportivo; JMD Villaverde ; Villaverde  ;30;SAVEFFI;16/12/2050
99;1930;CDM JOSE MARIA CAGIGAL;C/ SANTA POLA, 22;437491;4475985;40.363546309643300;-3.778110067286680;;deportivo; JMD Moncloa Aravaca ; Moncloa Aravaca ;10,2;;10/11/2050
103;149;CEIP SAN JUAN DE LA CRUZ;C/ DE HONDURAS, 10, 28016 MADRID;442495;4479193;40.42832883917410;-3.6154373664644300;;educativo; JMD Chamartín ; Chamartín ;20,4;;10/11/2050
104;363;CEIP ARQUITECTO GAUDÍ;C/ ROSA JARDÓN, 10, 28016 MADRID;443279;4479632;40.39401854488280;-3.697052144961610;;educativo; JMD Chamartín ; Chamartín ;25;;17/11/2050
105;212;CEIP ISAAC ALBÉNIZ;C/ DRACENA, 29, 28016 MADRID;443272;4479500;40.39390298324830;-3.680551491708350;;educativo; JMD Chamartín ; Chamartín ;20,4;;10/11/2050
106;245;CEIP PADRE POVEDA;AV/ ALFONSO XIII, 23, 28002 MADRID;443380;4478055;40.40761501410640;-3.7173807221939100;;educativo; JMD Chamartín ; Chamartín ;15;;10/11/2051
119;;EI PARQUE INGENIEROS;C/TABERNERA DEL PUERTO 26;440213;4467439;40.40207279862860;-3.6955325387824000;;educativo; JMD Villaverde ; Villaverde ;5;;10/11/2050
127;165;UID MONCLOA-ARAVACA;AVDA. VALLADOLID, 6;438135;4475651;40.460622835379600;-3.5936877657335900;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Moncloa Aravaca ;5;FERROVIAL;04/01/2051
130;140;CENTRO ACOGIDA SAN ISIDRO;PASEO DEL REY 34;438682;4475287;40.474801968086500;-3.5796914517468600;; social ; AG de Familias, Igualdad y Bienestar Social ; Moncloa Aravaca ;8,2;;10/11/2050
132;1942;CDM SAN BLAS;C/ ARCOS DE JALÓN,  59;448173;4475549;40.37690319217390;-3.741639735552090;; deportivo ; JMD San Blas Canillejas ; San Blas Canillejas ;35;;28/04/2051
133;;UID HORTALEZA;C/AREQUIPA , 2;445584;4480019;40.37420290010210;-3.7510337449848600;; seguridad ; AG de Portavoz, Seguridad y Emergencias ; Hortaleza ;8,8;AURA;12/08/2051
134;;CDM JUAN DE DIOS ROMÁN;C/JOSÉ GUTIÉRREZ MAROTO, 34;448935;4468432;40.39801608457680;-3.7352725040539500;; deportivo ; JMD Villa de Vallecas ; Villa de Vallecas ;27,2;FERROVIAL;01/10/2051
