Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud Reserva;Texto_Cajetines;Longitud;Latitud
01.02;441044,0800000000;4475402,9205100000;01-01-2051;01  CENTRO;01-04 JUSTICIA;GENOVA, CALLE, DE;6;Taxi;Línea;2;13,2;;-3.6950238180;40.4271729930
01.04;439299,3600000000;4475722,8800000000;26-01-2051;01  CENTRO;01-05 UNIVERSIDAD;PRINCESA, CALLE, DE LA;56;Taxi;Línea;8;50,7;;-3.7156210780;40.4299304100
01.11 a;440968,6700000000;4474059,0000000000;03-05-2051;01  CENTRO;01-03 CORTES;DUQUE DE MEDINACELI, CALLE, DEL;6;Taxi;Línea;9;45,3;;-3.6957880290;40.4150614670
01.11 b;440974,8000000000;4474009,1300000000;03-03-2051;01  CENTRO;01-03 CORTES;DUQUE DE MEDINACELI, CALLE, DEL;12;Taxi;Línea;5;25;;-3.6957111950;40.4146122110
01.17;441329,9900000000;4475203,2051000000;21-12-2051;01  CENTRO;01-04 JUSTICIA;GENOVA, CALLE, DE;28;Taxi;Línea;5;25,83;;-3.6916350020;40.4253939590
01.18;439413,9205100000;4475737,0205100000;24-06-2051;01  CENTRO;01-05 UNIVERSIDAD;SERRANO JOVER, CALLE, DE;5;Taxi;Línea;6;30;;-3.7142720480;40.4300665440
01.24;439799,9900000000;4474569,2800000000;02-08-2051;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, CUESTA, DE;5;Taxi;Línea;3;15;;-3.7096102920;40.4195741400
01.29;439823,4600000000;4474828,0700000000;23-04-2051;01  CENTRO;01-01 PALACIO;ISABEL LA CATOLICA, CALLE, DE;19;Taxi;Línea;4;22,6;;-3.7093581330;40.4219073960
01.40;440311,3900000000;4474504,2800000000;08-02-2051;01  CENTRO;01-06 SOL;SALUD, CALLE, DE LA;9;Taxi;Línea;6;29,5;;-3.7035764160;40.4190257050
01.41;440618,7600000000;4474272,5400000000;24-04-2051;01  CENTRO;01-03 CORTES;ARLABAN, CALLE, DE;4;Taxi;Línea;3;17,1;;-3.6999319460;40.4169601920
01.45 a;440546,3500000000;4475327,2051000000;10-05-2051;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;3;Taxi;Línea;9;45;;-3.7008839730;40.4264556500
01.45 b;440622,7205100000;4475359,3600000000;01-07-2051;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;9;Taxi;Línea;2;10;LAB. DE 8 A 20 H. EXCEPTO TRANSPORTE URBANO DE MERCANCIAS PERMITIDO TAXIS DE MIERCOLES A DOMINGO DE 20 A 8 H;-3.6999867780;40.4267512390
01.46;440494,3900000000;4473973,0205100000;03-03-2051;01  CENTRO;01-03 CORTES;ANGEL, PLAZA, DEL;8;Taxi;Línea;2;19,9;;-3.7013698410;40.4142528520
01.51;439838,7205100000;4474684,3400000000;14-07-2051;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;9;Taxi;Línea;1;5;;-3.7091645310;40.4206142310
01.52;441211,7400000000;4473311,8500000000;09-02-2051;01  CENTRO;01-02 EMBAJADORES;EMPERADOR CARLOS V, PLAZA, DEL;8;Taxi;Línea;6;30;;-3.6928541410;40.4083481210
01.55;441059,6100000000;4474064,2600000000;28-01-2051;01  CENTRO;01-03 CORTES;CANOVAS DEL CASTILLO, PLAZA, DE;5;Taxi;Línea;4;20;;-3.6947166550;40.4151148670
01.58;440147,7600000000;4474216,2051000000;27-12-2051;01  CENTRO;01-06 SOL;MAYOR, CALLE;5;Taxi;Línea;7;33,2;;-3.7054778910;40.4164188620
01.60;439619,0100000000;4473654,8600000000;17-12-2051;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;2;Taxi;Línea;3;15;;-3.7116565530;40.4113241210
01.64;441017,5205100000;4474823,5000000000;19-09-2051;01  CENTRO;01-04 JUSTICIA;PRIM, CALLE, DE;1;Taxi;Línea;3;15;;-3.6952831960;40.4219519720
01.65;441156,4700000000;4473473,8900000000;02-07-2051;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;123 B;Taxi;Batería;4;11,1;;-3.6935204340;40.4098034340
01.66;440798,8100000000;4473690,6700000000;02-07-2051;01  CENTRO;01-03 CORTES;ATOCHA, CALLE, DE;81;Taxi;Línea;2;17,8;;-3.6977556810;40.4117312070
01.67;440555,2051000000;4473278,5700000000;05-07-2051;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;1;Taxi;Línea;3;15;;-3.7005882120;40.4080011380
01.68;439754,9500000000;4474453,7205100000;28-07-2051;01  CENTRO;01-01 PALACIO;ARRIETA, CALLE, DE;1;Taxi;Línea;6;34,7;;-3.7101301940;40.4185298670
01.69;439802,8800000000;4474433,0400000000;28-07-2051;01  CENTRO;01-01 PALACIO;ISABEL II, PLAZA, DE;frente al 5;Taxi;Línea;4;20;;-3.7095633670;40.4183473230
01.70 a;439923,8600000000;4473717,6800000000;17-02-2051;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;50;Taxi;Batería;5;11,1;;-3.7080697800;40.4119118040
01.70 b;439928,8800000000;4473729,7300000000;17-02-2051;01  CENTRO;01-01 PALACIO;TOLEDO, CALLE, DE;50;Taxi;Batería;3;11,3;;-3.7080117400;40.4120512390
01.71;440657,0205100000;4474886,2600000000;05-03-2051;01  CENTRO;01-04 JUSTICIA;HORTALEZA, CALLE, DE;39;Taxi;Línea;2;11;;-3.6995383240;40.4224918130
02.01;440778,7300000000;4472184,9700000000;01-01-2051;02  ARGANZUELA;02-03 CHOPERA;JAIME EL CONQUISTADOR, CALLE, DE;1;Taxi;Línea;3;18;;-3.6978522240;40.3981654580
02.03;439579,9900000000;4473107,9300000000;08-02-2051;02  ARGANZUELA;02-01 IMPERIAL;PUERTA DE TOLEDO, GLORIETA, DE LA;4;Taxi;Batería;2;10;;-3.7120644420;40.4063943350
02.04;439527,4700000000;4473162,2600000000;05-02-2051;02  ARGANZUELA;02-01 IMPERIAL;SEGOVIA, RONDA, DE;52;Taxi;Línea;2;14,3;;-3.7126886800;40.4068800880
02.05;440436,3205100000;4472890,9800000000;01-07-2051;02  ARGANZUELA;02-06 PALOS DE MOGUER;EMBAJADORES, CALLE, DE;57;Taxi;Línea;6;30,8;;-3.7019528830;40.4045016260
02.13;442429,4100000000;4471801,4600000000;26-02-2051;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;83;Taxi;Línea;77;88;SUPLEMENTO DE TARIFA AUTORIZADO SALIDA ESTACION;-3.6783675340;40.3948266610
02.14;442677,5000000000;4471787,0600000000;01-07-2051;02  ARGANZUELA;02-07 ATOCHA;RETAMA, CALLE, DE LA;S/N;Taxi;Línea;14;68,4;;-3.6754431570;40.3947140740
02.15;441678,3000000000;4472547,7300000000;03-01-2051;02  ARGANZUELA;02-06 PALOS DE MOGUER;CANARIAS, CALLE, DE LAS;S/N;Taxi;Línea;3;15;;-3.6872858510;40.4014970350
02.17;441036,2600000000;4471433,2051000000;20-04-2051;02  ARGANZUELA;02-05 DELICIAS;LEGAZPI, PLAZA, DE;2;Taxi;Batería;10;25;;-3.6947481110;40.3914114880
02.20;442435,7700000000;4471460,8100000000;21-01-2051;02  ARGANZUELA;02-04 LEGAZPI;TITAN, CALLE, DE;S/N;Taxi;Línea;2;10,1;;-3.6782619380;40.3917579560
02.21;441154,1400000000;4472816,3700000000;26-11-2051;02  ARGANZUELA;02-06 PALOS DE MOGUER;DELICIAS, PASEO, DE LAS;35;Taxi;Línea;2;9,5;;-3.6934870880;40.4038799670
02.22;441434,8100000000;4473023,3900000000;15-12-2051;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;S/N;Taxi;Línea;291;269,6;;-3.6901987680;40.4057655710
02.23;438746,0000000000;4473115,8900000000;02-02-2051;02  ARGANZUELA;02-01 IMPERIAL;VIRGEN DEL PUERTO, PASEO, DE LA;57;Taxi;Línea;3;15;;-3.7218932470;40.4064047630
02.24;441983,3900000000;4472205,9205100000;27-08-2051;02  ARGANZUELA;02-05 DELICIAS;MENDEZ ALVARO, CALLE, DE;44;Taxi;Línea;10;50;DE 8 A 20 HORAS;-3.6836596580;40.3984391600
02.25;441222,9500000000;4473165,2300000000;14-10-2051;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;1;Taxi;Línea;5;25;;-3.6927084950;40.4070278540
02.26;442314,0600000000;4471400,2051000000;17-01-2051;02  ARGANZUELA;02-04 LEGAZPI;TITAN, CALLE, DE;13;Taxi;Línea;3;15;;-3.6796903790;40.3912038490
02.27;442406,5800000000;4471767,2300000000;26-02-2051;02  ARGANZUELA;02-07 ATOCHA;MENDEZ ALVARO, CALLE, DE;Frente 83;Taxi;Línea;14;70;;-3.6786334430;40.3945166900
 Sin Datos;443170,7300000000;4474376,8400000000;16-09-2051;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;S/N;Taxi;Línea;2;10;;-3.6698630640;40.4180783190
03.07;442659,2300000000;4474412,1300000000;01-01-2051;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;21;Taxi;Línea;4;19,7;;-3.6758951060;40.4183607880
03.09;442546,7300000000;4473952,4100000000;11-12-2051;03  RETIRO;03-06 NIÑO JESÚS;MENENDEZ PELAYO, AVENIDA, DE;65;Taxi;Línea;11;55;;-3.6771794480;40.4142114270
03.10;442658,1500000000;4474727,7000000000;11-12-2051;03  RETIRO;03-04 IBIZA;NARVAEZ, CALLE, DE;29;Taxi;Línea;4;20;;-3.6759361300;40.4212032880
03.11;441258,6300000000;4474184,0700000000;01-01-2051;03  RETIRO;03-05 JERÓNIMOS;LEALTAD, PLAZA, DE LA;S/N;Taxi;Batería;6;29,35;;-3.6923820810;40.4162085860
03.13;442647,2900000000;4473055,7400000000;01-01-2051;03  RETIRO;03-01 PACÍFICO;CAVANILLES, CALLE, DE;21;Taxi;Línea;2;11,2;;-3.6759134410;40.4061406860
03.15;442968,1100000000;4474607,0205100000;14-12-2051;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;54;Taxi;Línea;8;42,4;;-3.6722717780;40.4205173000
03.16;443352,5100000000;4473848,6100000000;17-01-2051;03  RETIRO;03-03 ESTRELLA;PEZ VOLADOR, CALLE, DEL;13;Taxi;Línea;2;10;;-3.6676732760;40.4133322230
03.18;443210,2600000000;4474446,9700000000;07-06-2051;03  RETIRO;03-04 IBIZA;DOCTOR ESQUERDO, CALLE, DEL;46;Taxi;Línea;8;39,3;;-3.6694033220;40.4187125840
03.22;442997,1205100000;4474732,3600000000;01-07-2051;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;48;Taxi;Línea;4;21;;-3.6719412390;40.4212691210
03.25;443237,1205100000;4473802,6600000000;08-05-2051;03  RETIRO;03-03 ESTRELLA;PEZ VOLADOR, CALLE, DEL;3;Taxi;Línea;4;20;;-3.6690292960;40.4129102400
03.26;442911,3205100000;4474549,2051000000;15-04-2051;03  RETIRO;03-04 IBIZA;MAIQUEZ, CALLE, DE;7;Taxi;Línea;3;15;;-3.6729360080;40.4196125860
03.27;442385,7300000000;4474560,1100000000;26-10-2051;03  RETIRO;03-04 IBIZA;MENENDEZ PELAYO, AVENIDA, DE;19;Taxi;Línea;2;11;;-3.6791320310;40.4196747520
03.28;443234,8205100000;4474346,0300000000;11-12-2051;03  RETIRO;03-03 ESTRELLA;DOCTOR ESQUERDO, CALLE, DEL;83;Taxi;Línea;9;45;;-3.6691048110;40.4178052480
03.32;441269,2100000000;4474067,3205100000;02-07-2051;03  RETIRO;03-05 JERÓNIMOS;FELIPE IV, CALLE, DE;1;Taxi;Línea;4;20;DE 10:00 A 20:00 H;-3.6922465770;40.4151577820
03.33;443208,2205100000;4473131,6300000000;16-07-2051;03  RETIRO;03-03 ESTRELLA;MEDITERRANEO, AVENIDA, DEL;43;Taxi;Línea;7;37;;-3.6693099300;40.4068631290
03.35;443203,1300000000;4474598,2051000000;24-07-2051;03  RETIRO;03-04 IBIZA;DOCTOR CASTELO, CALLE, DEL;51;Taxi;Línea;5;25;;-3.6695007830;40.4205147330
03.36;441222,6100000000;4474442,7500000000;21-12-2051;03  RETIRO;03-05 JERÓNIMOS;PRADO, PASEO, DEL;1;Taxi;Línea;4;20;;-3.6928304780;40.4185363420
03.37;442403,1100000000;4474406,7700000000;10-11-2051;03  RETIRO;03-05 JERÓNIMOS;MENENDEZ PELAYO, AVENIDA, DE;10;Taxi;Línea;6;30;VIERNES DESDE LAS 20 H. HASTA EL DOMINGO A LAS 20 H.;-3.6789132190;40.4182951840
 Sin Datos;442241,6100000000;4475978,5205100000;07-02-2051;04  SALAMANCA;04-06 CASTELLANA;CASTELLO, CALLE, DE;87;Taxi;Línea;3;13,5;;-3.6809595370;40.4324426580
04.01;443279,2700000000;4474958,2100000000;08-08-2051;04  SALAMANCA;04-03 FUENTE DEL BERRO;DOCTOR ESQUERDO, CALLE, DEL;47;Taxi;Línea;2;10;;-3.6686356160;40.4233230600
04.02;442583,2100000000;4475141,8600000000;04-12-2051;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;87;Taxi;Línea;8;33,74;;-3.6768568160;40.4249290610
04.03;441863,6600000000;4476310,4300000000;05-06-2051;04  SALAMANCA;04-06 CASTELLANA;CLAUDIO COELLO, CALLE, DE;139;Taxi;Línea;3;15,1;;-3.6854456820;40.4354063960
04.04;442538,8600000000;4475999,2051000000;19-01-2051;04  SALAMANCA;04-05 LISTA;JUAN BRAVO, CALLE, DE;41;Taxi;Línea;9;45;;-3.6774572180;40.4326490940
04.05;442649,3600000000;4475991,1700000000;14-12-2051;04  SALAMANCA;04-05 LISTA;JUAN BRAVO, CALLE, DE;49 A;Taxi;Línea;8;40,9;;-3.6761537390;40.4325852100
04.06;443225,3400000000;4475488,5400000000;16-12-2051;04  SALAMANCA;04-02 GOYA;MANUEL BECERRA, PLAZA, DE;4;Taxi;Línea;4;19,19;;-3.6693185820;40.4280966580
04.07;441507,7600000000;4475231,7100000000;27-03-2051;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;1;Taxi;Línea;4;20;;-3.6895421590;40.4256634210
04.08;442118,2700000000;4475174,5205100000;07-07-2051;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;47;Taxi;Línea;2;10;DE 10:00 A.M A 08:00 A.M.;-3.6823404800;40.4251915330
04.09;442355,7100000000;4475159,1800000000;04-10-2051;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;67;Taxi;Línea;4;20,54;;-3.6795401490;40.4250694360
04.10;442060,4300000000;4475746,4400000000;01-12-2051;04  SALAMANCA;04-06 CASTELLANA;JOSE ORTEGA Y GASSET, CALLE, DE;29;Taxi;Línea;9;45;;-3.6830744970;40.4303391000
04.12;441833,2900000000;4475196,6400000000;17-01-2051;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;25;Taxi;Línea;5;28;;-3.6857017370;40.4253709260
04.13;442051,6900000000;4475181,9900000000;17-01-2051;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;37;Taxi;Línea;7;35;;-3.6835856890;40.4252509490
04.14;442224,7500000000;4475168,8600000000;29-01-2051;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;57;Taxi;Línea;5;25;;-3.6810848430;40.4251481030
04.15 a;442457,9100000000;4475151,9100000000;18-07-2051;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;77;Taxi;Línea;4;20,9;;-3.6783348750;40.4250113380
04.15 b;442482,7100000000;4475149,7205100000;29-01-2051;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;79;Taxi;Línea;4;20,1;;-3.6780422080;40.4249934040
04.17;442051,8100000000;4475486,0100000000;01-01-2051;04  SALAMANCA;04-01 RECOLETOS;VELAZQUEZ, CALLE, DE;58;Taxi;Línea;8;39;;-3.6837770570;40.4279890570
04.19;442724,8700000000;4476198,8300000000;21-01-2051;04  SALAMANCA;04-05 LISTA;DIEGO DE LEON, CALLE, DE;64;Taxi;Línea;4;20,7;;-3.6752822710;40.4344605580
04.20;441575,2100000000;4475688,5400000000;01-01-2051;04  SALAMANCA;04-06 CASTELLANA;CASTELLANA, PASEO, DE LA;22;Taxi;Línea;8;41,9;;-3.6887890060;40.4297838470
04.22;443105,3205100000;4475105,4800000000;01-01-2051;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;127;Taxi;Línea;3;16,21;;-3.6706991240;40.4246374830
04.23;442754,1400000000;4475111,0700000000;18-10-2051;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;76;Taxi;Línea;4;26;;-3.6748392051;40.4246636670
04.25 a;441648,8000000000;4476052,7400000000;24-10-2051;04  SALAMANCA;04-06 CASTELLANA;CASTELLANA, PASEO, DE LA;40;Taxi;Línea;6;30;;-3.6879550660;40.4330697030
04.25 b;441642,4100000000;4476015,9000000000;05-03-2051;04  SALAMANCA;04-06 CASTELLANA;CASTELLANA, PASEO, DE LA;38;Taxi;Línea;5;20;;-3.6880269720;40.4327380750
04.27 a;443795,3000000000;4475830,2500000000;14-05-2051;04  SALAMANCA;04-04 GUINDALERA;ALCALA, CALLE, DE;237;Taxi;Línea;8;40,1;Días de espectáculo;-3.6626300450;40.4312135490
04.27 b;443851,8205100000;4475886,8600000000;16-05-2051;04  SALAMANCA;04-04 GUINDALERA;ALCALA, CALLE, DE;237;Taxi;Línea;28;140,6;Días de espectáculo taxi de 20:00 a 22:00;-3.6619686790;40.4317272630
04.29;441521,2800000000;4475329,4900000000;25-09-2051;04  SALAMANCA;04-01 RECOLETOS;HERMOSILLA, CALLE, DE;2;Taxi;Línea;1;5;;-3.6893917570;40.4265453750
04.35;443736,6100000000;4476637,3900000000;12-07-2051;04  SALAMANCA;04-04 GUINDALERA;BRUSELAS, AVENIDA, DE;51;Taxi;Batería;3;7,1;;-3.6633933960;40.4384810600
04.36;443682,8800000000;4476305,2051000000;31-03-2051;04  SALAMANCA;04-04 GUINDALERA;BIARRITZ, CALLE, DE;1;Taxi;Línea;3;18,3;;-3.6639973510;40.4354840900
04.37;443099,4800000000;4475238,5300000000;21-10-2051;04  SALAMANCA;04-02 GOYA;FUENTE DEL BERRO, CALLE, DE LA;19;Taxi;Línea;3;15;;-3.6707799680;40.4258354800
04.43;441978,8100000000;4474861,4205100000;02-12-2051;04  SALAMANCA;04-01 RECOLETOS;VILLANUEVA, CALLE, DE;25;Taxi;Línea;5;25,3;;-3.6839558200;40.4223610640
04.44;442963,0900000000;4476593,2205100000;07-07-2051;04  SALAMANCA;04-04 GUINDALERA;CARTAGENA, CALLE, DE;83;Taxi;Línea;3;15,1;;-3.6725092690;40.4380300850
04.46;443005,0205100000;4474840,8000000000;16-01-2051;04  SALAMANCA;04-02 GOYA;DUQUE DE SESTO, CALLE, DEL;56;Taxi;Línea;2;10,9;;-3.6718577590;40.4222461860
04.50;443556,2205100000;4476977,1600000000;24-05-2051;04  SALAMANCA;04-04 GUINDALERA;AMERICA, AVENIDA, DE;S/N;Taxi;Línea;5;25;Lunes a viernes de 08:00 a 19:00 ;-3.6655502960;40.4415291950
04.52;441496,4300000000;4475309,0700000000;17-01-2051;04  SALAMANCA;04-01 RECOLETOS;CASTELLANA, PASEO, DE LA;2;Taxi;Línea;7;35;;-3.6896827630;40.4263597370
04.53;442948,5500000000;4476695,8900000000;19-01-2051;04  SALAMANCA;04-04 GUINDALERA;AMERICA, AVENIDA, DE;32;Taxi;Línea;2;10;;-3.6726899230;40.4389540370
04.55;442691,4700000000;4476616,9205100000;02-01-2051;04  SALAMANCA;04-04 GUINDALERA;AMERICA, AVENIDA, DE;10;Taxi;Línea;5;25,3;;-3.6757137650;40.4382247190
04.56;442690,0600000000;4476088,8800000000;16-07-2051;04  SALAMANCA;04-05 LISTA;MALDONADO, CALLE, DE;52;Taxi;Línea;3;15;;-3.6756828250;40.4334678510
04.57;441753,5000000000;4475946,0000000000;15-01-2051;04  SALAMANCA;04-06 CASTELLANA;SERRANO, CALLE, DE;88;Taxi;Línea;4;20;;-3.6867109450;40.4321156710
04.59;441703,1000000000;4475513,1205100000;14-01-2051;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;54;Taxi;Línea;7;34;;-3.6872654540;40.4282125100
04.60;441680,4600000000;4475360,5500000000;14-01-2051;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;44;Taxi;Línea;8;36;;-3.6875183000;40.4268366090
04.61;441664,6900000000;4475255,6100000000;14-01-2051;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;38;Taxi;Línea;7;35;;-3.6876945990;40.4258906560
04.63;441587,7300000000;4474690,3600000000;14-01-2051;04  SALAMANCA;04-01 RECOLETOS;SERRANO, CALLE, DE;2;Taxi;Línea;5;25;;-3.6885498530;40.4207931080
04.64;441732,3100000000;4475707,3600000000;22-10-2051;04  SALAMANCA;04-06 CASTELLANA;SERRANO, CALLE, DE;70;Taxi;Línea;11;60;;-3.6869389820;40.4299644430
04.65;442749,7900000000;4475130,6300000000;18-10-2051;04  SALAMANCA;04-02 GOYA;GOYA, CALLE, DE;91;Taxi;Línea;3;13,9;;-3.6748922580;40.4248400810
04.66;441595,4300000000;4476422,3500000000;18-11-2051;04  SALAMANCA;04-06 CASTELLANA;LOPEZ DE HOYOS, CALLE, DE;4;Taxi;Línea;3;15;;-3.6886181500;40.4363962380
04.67;442104,7800000000;4475176,6400000000;07-07-2051;04  SALAMANCA;04-01 RECOLETOS;GOYA, CALLE, DE;45;Taxi;Línea;3;15;;-3.6824995910;40.4252097530
 Sin Datos;442276,8900000000;4476805,2400000000;22-10-2051;05  CHAMARTÍN;05-01 EL VISO;EDISON, CALLE, DE;4;Taxi;Línea;4;19,7;;-3.6806187990;40.4398924840
05.01;441663,4800000000;4477933,2100000000;01-01-2051;05  CHAMARTÍN;05-01 EL VISO;LA HABANA, PASEO, DE;15;Taxi;Línea;6;31,1;;-3.6879546070;40.4500114340
05.03;442232,8600000000;4478160,2900000000;01-01-2051;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;SERRANO, CALLE, DE;199;Taxi;Línea;4;25,1;;-3.6812610850;40.4520963710
05.04;441480,5100000000;4478118,1300000000;26-05-2051;05  CHAMARTÍN;05-01 EL VISO;CASTELLANA, PASEO, DE LA;138;Taxi;Línea;3;22;;-3.6901292110;40.4516645320
05.05 a;441799,5700000000;4478111,9000000000;31-01-2051;05  CHAMARTÍN;05-01 EL VISO;SAGRADOS CORAZONES, PLAZA, DE LOS;1;Taxi;Línea;4;20,02;;-3.6863662540;40.4516306700
05.05 b;441776,3500000000;4478126,7700000000;31-01-2051;05  CHAMARTÍN;05-01 EL VISO;CONCHA ESPINA, AVENIDA, DE;16;Taxi;Línea;5;24,2;;-3.6866413880;40.4517626230
05.06 a;441672,4100000000;4479113,8700000000;01-07-2051;05  CHAMARTÍN;05-05 NUEVA ESPAÑA;DOCTOR FLEMING, CALLE, DEL;29;Taxi;Línea;2;9,1;;-3.6879578730;40.4606481090
05.06 b;441657,2600000000;4479102,1100000000;14-01-2051;05  CHAMARTÍN;05-05 NUEVA ESPAÑA;JUAN HURTADO DE MENDOZA, CALLE, DE;7;Taxi;Batería;4;8,6;;-3.6881354900;40.4605406230
05.07;443210,9600000000;4477114,8800000000;11-04-2051;05  CHAMARTÍN;05-02 PROSPERIDAD;CLARA DEL REY, CALLE, DE;26;Taxi;Línea;5;23,3;;-3.6696334800;40.4427466730
05.08;442451,6300000000;4476946,1500000000;14-09-2051;05  CHAMARTÍN;05-02 PROSPERIDAD;PRINCIPE DE VERGARA, CALLE, DEL;122;Taxi;Línea;2;24,5;;-3.6785713350;40.4411741910
05.15;441860,3400000000;4478842,0100000000;10-12-2051;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;PADRE DAMIAN, CALLE, DEL;23;Taxi;Línea;3;15;;-3.6857164620;40.4582116060
05.16;442591,9400000000;4478857,2051000000;01-01-2051;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;REPUBLICA DOMINICANA, PLAZA, DE LA;1;Taxi;Línea;4;21;;-3.6770897230;40.4583999380
05.17;443022,0400000000;4478665,1700000000;19-05-2051;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;VICTOR DE LA SERNA, CALLE, DE;37;Taxi;Línea;4;20;;-3.6720519670;40.4566996850
05.18;442396,9900000000;4478345,0700000000;01-07-2051;05  CHAMARTÍN;05-04 HISPANOAMÉRICA;SERRANO, CALLE, DE;211;Taxi;Línea;4;20;;-3.6793423640;40.4537729600
05.19;441926,2900000000;4480246,3100000000;01-01-2051;05  CHAMARTÍN;05-06 CASTILLA;AGUSTIN DE FOXA, CALLE, DE;27;Taxi;Línea;5;25;;-3.6850671860;40.4708667540
